"2-к. квартира, 54 м², 2/8 эт.",4600000,р-н Пролетарский,54,85185,2,монолитный,8,2, 4 кв. 2023 года
"2-к. квартира, 53,1 м², 5/8 эт.",4800000,р-н Пролетарский,53.1,90395,2,монолитно-кирпичный,8,5, 4 кв. 2023 года
"4-к. квартира, 88 м², 4/8 эт.",7522000,р-н Пролетарский,88,85477,4,кирпичный,8,4, 3 кв. 2023 года
"2-к. квартира, 57,2 м², 8/8 эт.",4800000,р-н Пролетарский,57.2,83916,2,монолитно-кирпичный,8,8, 3 кв. 2023 года
"1-к. квартира, 39,1 м², 5/8 эт.",3900000,р-н Пролетарский,39.1,99744,1,монолитный,8,5, 3 кв. 2023 года
"2-к. квартира, 58,3 м², 2/8 эт.",4950000,р-н Пролетарский,58.3,84906,2,монолитно-кирпичный,8,2, 3 кв. 2023 года
"1-к. квартира, 37,5 м², 7/8 эт.",3549000,р-н Пролетарский,37.5,94640,1,монолитный,8,7, 3 кв. 2023 года
"1-к. квартира, 47,7 м², 4/8 эт.",4470000,р-н Пролетарский,47.7,93711,1,кирпичный,8,4, 3 кв. 2023 года
"2-к. квартира, 58,3 м², 2/8 эт.",4500000,р-н Пролетарский,58.3,77187,2,монолитно-кирпичный,8,2, 3 кв. 2023 года
"3-к. квартира, 61,7 м², 1/8 эт.",5642000,р-н Пролетарский,61.7,91442,3,монолитный,8,1, 3 кв. 2023 года
"2-к. квартира, 36,9 м², 2/8 эт.",3500000,р-н Пролетарский,36.9,94851,2,блочный,8,2, 3 кв. 2022 года
"1-к. квартира, 36 м², 7/8 эт.",3450000,р-н Пролетарский,36,95833,1,монолитно-кирпичный,8,7, 3 кв. 2022 года
"1-к. квартира, 36 м², 3/8 эт.",3700000,р-н Пролетарский,36,102778,1,монолитный,8,3, 3 кв. 2022 года
"1-к. квартира, 36,9 м², 4/8 эт.",3450000,р-н Пролетарский,36.9,93496,1,монолитный,8,4, 3 кв. 2022 года
"1-к. квартира, 37,4 м², 5/8 эт.",3320000,р-н Пролетарский,37.4,88770,1,монолитный,8,5, 3 кв. 2022 года
"1-к. квартира, 36,9 м², 4/8 эт.",3390000,р-н Пролетарский,36.9,91870,1,монолитный,8,4, 3 кв. 2022 года
"2-к. квартира, 52,9 м², 4/8 эт.",4680000,р-н Пролетарский,52.9,88469,2,монолитный,8,4, 3 кв. 2022 года
"1-к. квартира, 44,5 м², 19/23 эт.",3950000,р-н Центральный,44.5,88764,1,монолитно-кирпичный,23,19, 2 кв. 2022 года
"2-к. квартира, 59 м², 21/22 эт.",4750000,р-н Центральный,59,80508,2,кирпичный,22,21, сдан
